"Country","Month","Total Passengers"
"Cayman Islands","1/8/2020","516"
"United Kingdom","1/7/2020","52541"
"Italy","1/7/2020","4577"
"Switzerland","1/7/2020","11858"
"Haiti","1/7/2020","33783"
"Ireland","1/7/2020","11820"
"Iceland","1/7/2020","2043"
"Israel","1/7/2020","15812"
"Denmark","1/7/2020","4564"
"Spain","1/7/2020","9114"
"Japan","1/7/2020","34517"
"Bahamas","1/7/2020","18333"
"Hong Kong","1/7/2020","7514"
"Jamaica","1/7/2020","82405"
"Netherlands","1/7/2020","55022"
"China","1/7/2020","9266"
"Honduras","1/7/2020","4375"
"Dominican Republic","1/7/2020","223118"
"El Salvador","1/7/2020","3443"
"Canada","1/7/2020","79262"
"Germany","1/7/2020","65323"
"France","1/7/2020","39813"
"South Korea","1/7/2020","67338"
"Mexico","1/7/2020","677682"
"Colombia","1/7/2020","4474"
"Aruba","1/7/2020","17343"
"Ecuador","1/7/2020","27792"
"Guatemala","1/7/2020","3240"
"Atlantic Ocean","1/7/2020","2924"
"Trinidad and Tobago","1/7/2020","358"
"Peru","1/7/2020","203"
"New Zealand","1/7/2020","4772"
"Russia","1/7/2020","3740"
"Cayman Islands","1/7/2020","412"
"Chile","1/7/2020","4516"
"Argentina","1/7/2020","1619"
"Australia","1/7/2020","5021"
"Belgium","1/7/2020","3842"
"Costa Rica","1/7/2020","4374"
"Panama","1/7/2020","977"
"Philippines","1/7/2020","16178"
"Antilles","1/7/2020","241"
"Brazil","1/7/2020","11996"
"Taiwan","1/7/2020","14581"
"Turkey","1/7/2020","31927"
"United Arab Emirates","1/7/2020","21122"
"Turkey","1/6/2020","9833"
"Japan","1/6/2020","24934"
"Italy","1/6/2020","2005"
"Netherlands","1/6/2020","43733"
"Hong Kong","1/6/2020","3489"
"United Arab Emirates","1/6/2020","3485"
"China","1/6/2020","11372"
"Spain","1/6/2020","5215"
"Iceland","1/6/2020","674"
"Argentina","1/6/2020","2575"
"Cayman Islands","1/6/2020","505"
"New Zealand","1/6/2020","3595"
"United Kingdom","1/6/2020","35699"
"Germany","1/6/2020","42314"
"South Korea","1/6/2020","50769"
"France","1/6/2020","22253"
"Ireland","1/6/2020","5907"
"Chile","1/6/2020","4006"
"Panama","1/6/2020","798"
"Costa Rica","1/6/2020","2900"
"Guatemala","1/6/2020","3537"
"Jamaica","1/6/2020","22188"
"Canada","1/6/2020","47942"
"Mexico","1/6/2020","267316"
"Australia","1/6/2020","4466"
"Russia","1/6/2020","2776"
"Colombia","1/6/2020","6737"
"Philippines","1/6/2020","9560"
"Brazil","1/6/2020","7099"
"Antilles","1/6/2020","108"
"Israel","1/6/2020","13360"
"Honduras","1/6/2020","3945"
