"Country","Month","Total Passengers"
"Brazil","1/2/1997","211684"
"United Arab Emirates","1/2/1997","828"
"Australia","1/2/1997","80379"
"Honduras","1/2/1997","24462"
"Turkey","1/2/1997","7558"
"France","1/2/1997","239729"
"Belgium","1/2/1997","52621"
"Japan","1/2/1997","1111295"
"Peru","1/2/1997","60251"
"Atlantic Ocean","1/2/1997","35322"
"Mexico","1/2/1997","901791"
"Israel","1/2/1997","53308"
"Italy","1/2/1997","98877"
"United Kingdom","1/2/1997","779994"
"Bahamas","1/2/1997","99298"
"Philippines","1/2/1997","43074"
"Venezuela","1/2/1997","79979"
"Ecuador","1/2/1997","37492"
"Germany","1/2/1997","380971"
"Panama","1/2/1997","46291"
"Italy","1/1/1997","119683"
"France","1/1/1997","257106"
"Belgium","1/1/1997","64686"
"Antilles","1/1/1997","60761"
"Jamaica","1/1/1997","168357"
"Denmark","1/1/1997","25541"
"Venezuela","1/1/1997","115871"
"Panama","1/1/1997","50612"
"South Korea","1/1/1997","302030"
"Peru","1/1/1997","69556"
"Ecuador","1/1/1997","41100"
"Aruba","1/1/1997","59944"
"Argentina","1/1/1997","89146"
"Bahamas","1/1/1997","106763"
"El Salvador","1/1/1997","44316"
"United Arab Emirates","1/1/1997","1066"
"Haiti","1/1/1997","44800"
"China","1/1/1997","16110"
"United Kingdom","1/1/1997","865163"
"Switzerland","1/1/1997","97505"
"Atlantic Ocean","1/1/1997","34868"
"Turkey","1/1/1997","9656"
"Honduras","1/1/1997","29719"
"Costa Rica","1/1/1997","77957"
"Canada","1/1/1997","1161344"
"Australia","1/1/1997","102853"
"Ireland","1/1/1997","49437"
"Dominican Republic","1/1/1997","191457"
"Chile","1/1/1997","48890"
"Hong Kong","1/1/1997","119692"
"Taiwan","1/1/1997","180065"
"Trinidad and Tobago","1/1/1997","23172"
"Spain","1/1/1997","90072"
"Israel","1/1/1997","59611"
"Colombia","1/1/1997","108208"
"New Zealand","1/1/1997","72978"
"Mexico","1/1/1997","1004289"
"Netherlands","1/1/1997","225670"
"Guatemala","1/1/1997","66193"
"Cayman Islands","1/1/1997","57092"
"Japan","1/1/1997","1171988"
"Brazil","1/1/1997","274353"
"Iceland","1/1/1997","29487"
"Russia","1/1/1997","23040"
"Philippines","1/1/1997","53825"
"Germany","1/1/1997","440097"
"China","1/12/1996","20354"
"Brazil","1/12/1996","236731"
"Turkey","1/12/1996","9259"
"Netherlands","1/12/1996","233136"
"South Korea","1/12/1996","282081"
"Chile","1/12/1996","34070"
"Aruba","1/12/1996","55927"
"Russia","1/12/1996","26040"
"United Kingdom","1/12/1996","937868"
"Taiwan","1/12/1996","173198"
"Ecuador","1/12/1996","37334"
"Italy","1/12/1996","118721"
"United Arab Emirates","1/12/1996","1612"
"Spain","1/12/1996","91849"
"Costa Rica","1/12/1996","72811"
"Japan","1/12/1996","1171289"
"Guatemala","1/12/1996","68691"
"Canada","1/12/1996","1092008"
"New Zealand","1/12/1996","64694"
"Germany","1/12/1996","458307"
"France","1/12/1996","262307"
"Argentina","1/12/1996","75298"
"Mexico","1/12/1996","976391"
"Dominican Republic","1/12/1996","184562"
"Denmark","1/12/1996","25924"
"Honduras","1/12/1996","28657"
"Iceland","1/12/1996","25476"
"Ireland","1/12/1996","45806"
"Panama","1/12/1996","44545"
"Belgium","1/12/1996","64455"
"Cayman Islands","1/12/1996","59201"
"Philippines","1/12/1996","49307"
"Colombia","1/12/1996","103832"
"Venezuela","1/12/1996","108371"
"Peru","1/12/1996","61610"
"Atlantic Ocean","1/12/1996","44477"
"Haiti","1/12/1996","51107"
"Switzerland","1/12/1996","105640"
"Hong Kong","1/12/1996","111269"
"Antilles","1/12/1996","55826"
"Israel","1/12/1996","63482"
"El Salvador","1/12/1996","44673"
"Trinidad and Tobago","1/12/1996","22948"
"Australia","1/12/1996","95663"
"Bahamas","1/12/1996","120968"
"Jamaica","1/12/1996","190531"
"Argentina","1/11/1996","70538"
"United Kingdom","1/11/1996","952680"
"Ireland","1/11/1996","92450"
"Australia","1/11/1996","84671"
"Cayman Islands","1/11/1996","55843"
"Brazil","1/11/1996","187478"
"Colombia","1/11/1996","72138"
"China","1/11/1996","20403"
"Taiwan","1/11/1996","147641"
"Belgium","1/11/1996","63620"
"Atlantic Ocean","1/11/1996","58615"
"Mexico","1/11/1996","849415"
"Guatemala","1/11/1996","66459"
"Venezuela","1/11/1996","101825"
"Honduras","1/11/1996","21792"
"Turkey","1/11/1996","9464"
"Ecuador","1/11/1996","30432"
"Israel","1/11/1996","58963"
"Italy","1/11/1996","128313"
"New Zealand","1/11/1996","54343"
"France","1/11/1996","276862"
"Dominican Republic","1/11/1996","152120"
"Haiti","1/11/1996","33919"
"Philippines","1/11/1996","40110"
"Antilles","1/11/1996","49960"
"Aruba","1/11/1996","60972"
"Netherlands","1/11/1996","230938"
"Chile","1/11/1996","30644"
"Hong Kong","1/11/1996","109146"
"Canada","1/11/1996","1018436"
"Denmark","1/11/1996","29141"
"Switzerland","1/11/1996","105086"
"Iceland","1/11/1996","22009"
"Jamaica","1/11/1996","150844"
"United Arab Emirates","1/11/1996","1034"
"Japan","1/11/1996","1107618"
"Trinidad and Tobago","1/11/1996","15305"
"Spain","1/11/1996","91266"
"El Salvador","1/11/1996","34823"
"Russia","1/11/1996","22968"
"Bahamas","1/11/1996","100898"
"Costa Rica","1/11/1996","49356"
"South Korea","1/11/1996","257169"
"Germany","1/11/1996","470083"
"Panama","1/11/1996","30873"
"Peru","1/11/1996","48370"
"Ireland","1/10/1996","66345"
"China","1/10/1996","20911"
"Ecuador","1/10/1996","31868"
"Israel","1/10/1996","72860"
"Colombia","1/10/1996","64161"
"United Arab Emirates","1/10/1996","178"
"Costa Rica","1/10/1996","40805"
"United Kingdom","1/10/1996","1172346"
"Peru","1/10/1996","51961"
"El Salvador","1/10/1996","24158"
"South Korea","1/10/1996","256235"
"Honduras","1/10/1996","19907"
"Antilles","1/10/1996","38291"
"New Zealand","1/10/1996","52211"
"Switzerland","1/10/1996","140996"
"Russia","1/10/1996","25006"
"Belgium","1/10/1996","77002"
"Japan","1/10/1996","1120922"
"Venezuela","1/10/1996","102678"
"Atlantic Ocean","1/10/1996","74625"
"Denmark","1/10/1996","40963"
"Brazil","1/10/1996","215794"
"Dominican Republic","1/10/1996","141225"
"Turkey","1/10/1996","12176"
"Panama","1/10/1996","31475"
"Netherlands","1/10/1996","283843"
"Australia","1/10/1996","99424"
"Guatemala","1/10/1996","58305"
"Haiti","1/10/1996","36549"
"Philippines","1/10/1996","39127"
"Italy","1/10/1996","188380"
"Germany","1/10/1996","569408"
"Iceland","1/10/1996","29339"
"Chile","1/10/1996","28334"
"Bahamas","1/10/1996","85555"
"France","1/10/1996","371755"
"Aruba","1/10/1996","57587"
"Jamaica","1/10/1996","136540"
"Hong Kong","1/10/1996","112859"
"Canada","1/10/1996","1178129"
"Argentina","1/10/1996","74558"
"Cayman Islands","1/10/1996","45649"
"Spain","1/10/1996","114218"
"Trinidad and Tobago","1/10/1996","14415"
"Taiwan","1/10/1996","153499"
"Mexico","1/10/1996","761049"
"Antilles","1/9/1996","29402"
"United Kingdom","1/9/1996","1215529"
"El Salvador","1/9/1996","26251"
"Australia","1/9/1996","92292"
"Guatemala","1/9/1996","54813"
"Cayman Islands","1/9/1996","35205"
"Aruba","1/9/1996","46976"
"Brazil","1/9/1996","192538"
"Ecuador","1/9/1996","41723"
"Atlantic Ocean","1/9/1996","70721"
"Switzerland","1/9/1996","143090"
"Netherlands","1/9/1996","293406"
"Italy","1/9/1996","201076"
"Spain","1/9/1996","108558"
"Costa Rica","1/9/1996","37153"
"Canada","1/9/1996","1198536"
"Ireland","1/9/1996","100106"
"Turkey","1/9/1996","13350"
"Argentina","1/9/1996","72975"
"Peru","1/9/1996","52097"
"Colombia","1/9/1996","68077"
"South Korea","1/9/1996","243723"
"New Zealand","1/9/1996","58215"
"Philippines","1/9/1996","37792"
"Taiwan","1/9/1996","159789"
"Japan","1/9/1996","1292548"
"Trinidad and Tobago","1/9/1996","18780"
"Venezuela","1/9/1996","127059"
"Israel","1/9/1996","72538"
"China","1/9/1996","21377"
"Belgium","1/9/1996","74485"
"Iceland","1/9/1996","28378"
"Honduras","1/9/1996","20849"
"Dominican Republic","1/9/1996","155753"
"Panama","1/9/1996","33159"
"France","1/9/1996","399672"
"Denmark","1/9/1996","45233"
"Chile","1/9/1996","30273"
"Jamaica","1/9/1996","137751"
"Russia","1/9/1996","28039"
"Hong Kong","1/9/1996","105568"
"Germany","1/9/1996","589833"
"Haiti","1/9/1996","45712"
"Bahamas","1/9/1996","69675"
"Mexico","1/9/1996","672135"
"Russia","1/8/1996","39514"
"Iceland","1/8/1996","29219"
"United Kingdom","1/8/1996","1300030"
"Atlantic Ocean","1/8/1996","92250"
"Turkey","1/8/1996","9674"
"Ecuador","1/8/1996","52360"
"Canada","1/8/1996","1478511"
"Hong Kong","1/8/1996","133812"
"Guatemala","1/8/1996","78028"
"Brazil","1/8/1996","207839"
"France","1/8/1996","434671"
"Jamaica","1/8/1996","239765"
"Aruba","1/8/1996","61089"
"Switzerland","1/8/1996","156715"
"Dominican Republic","1/8/1996","243465"
"Bahamas","1/8/1996","132459"
"Panama","1/8/1996","46776"
"Spain","1/8/1996","148580"
"Haiti","1/8/1996","75813"
"Chile","1/8/1996","28775"
"China","1/8/1996","26967"
"Costa Rica","1/8/1996","47480"
"Belgium","1/8/1996","84477"
"Peru","1/8/1996","66569"
"Netherlands","1/8/1996","321395"
"Argentina","1/8/1996","71476"
"New Zealand","1/8/1996","57809"
"Antilles","1/8/1996","46949"
"Venezuela","1/8/1996","124836"
"Japan","1/8/1996","1390916"
"Denmark","1/8/1996","50065"
"Mexico","1/8/1996","956526"
"Trinidad and Tobago","1/8/1996","31964"
"Colombia","1/8/1996","97289"
"Germany","1/8/1996","634139"
"Italy","1/8/1996","220415"
"South Korea","1/8/1996","344786"
"Cayman Islands","1/8/1996","52015"
"Philippines","1/8/1996","51357"
"Ireland","1/8/1996","134695"
"Honduras","1/8/1996","32272"
"El Salvador","1/8/1996","45060"
"Israel","1/8/1996","110971"
"Australia","1/8/1996","95003"
"Taiwan","1/8/1996","200514"
"Aruba","1/7/1996","57863"
"Guatemala","1/7/1996","78514"
"Philippines","1/7/1996","49340"
"Switzerland","1/7/1996","149145"
"Bahamas","1/7/1996","122145"
"Chile","1/7/1996","31511"
"Spain","1/7/1996","146204"
"Trinidad and Tobago","1/7/1996","27610"
"Mexico","1/7/1996","932448"
"Venezuela","1/7/1996","112240"
"China","1/7/1996","22476"
"New Zealand","1/7/1996","58793"
"Panama","1/7/1996","43954"
"South Korea","1/7/1996","305539"
"United Kingdom","1/7/1996","1259497"
"Honduras","1/7/1996","37256"
"Haiti","1/7/1996","73689"
"Hong Kong","1/7/1996","121793"
"Argentina","1/7/1996","72935"
"Germany","1/7/1996","612060"
"Israel","1/7/1996","96725"
"Cayman Islands","1/7/1996","51110"
"Denmark","1/7/1996","51459"
"Antilles","1/7/1996","47364"
"Colombia","1/7/1996","101521"
"Ireland","1/7/1996","126520"
"Canada","1/7/1996","1362286"
"Dominican Republic","1/7/1996","237926"
"France","1/7/1996","427890"
"Netherlands","1/7/1996","315966"
"Turkey","1/7/1996","14464"
"El Salvador","1/7/1996","47000"
"Costa Rica","1/7/1996","54268"
"Taiwan","1/7/1996","213729"
"Iceland","1/7/1996","28408"
"Jamaica","1/7/1996","207007"
"Atlantic Ocean","1/7/1996","89377"
"Peru","1/7/1996","64063"
"Ecuador","1/7/1996","41122"
"Australia","1/7/1996","101588"
"Japan","1/7/1996","1265117"
"Belgium","1/7/1996","81586"
"Brazil","1/7/1996","256186"
"Italy","1/7/1996","216440"
"Russia","1/7/1996","37931"
"Colombia","1/6/1996","94231"
"Taiwan","1/6/1996","203495"
"Peru","1/6/1996","54349"
"Cayman Islands","1/6/1996","50243"
"Israel","1/6/1996","76631"
"Russia","1/6/1996","33141"
"China","1/6/1996","25331"
"South Korea","1/6/1996","297993"
"Haiti","1/6/1996","47104"
"Bahamas","1/6/1996","111220"
"Switzerland","1/6/1996","145555"
"Netherlands","1/6/1996","296159"
"Atlantic Ocean","1/6/1996","93330"
"New Zealand","1/6/1996","61877"
"Antilles","1/6/1996","36441"
"Hong Kong","1/6/1996","112772"
"Argentina","1/6/1996","64049"
"Jamaica","1/6/1996","174876"
"Trinidad and Tobago","1/6/1996","18806"
"Ecuador","1/6/1996","36038"
"France","1/6/1996","427539"
"Italy","1/6/1996","200404"
"Panama","1/6/1996","41902"
"Dominican Republic","1/6/1996","177964"
"Aruba","1/6/1996","51162"
"Denmark","1/6/1996","46516"
"Japan","1/6/1996","1233971"
"Chile","1/6/1996","26124"
"Honduras","1/6/1996","31219"
"Iceland","1/6/1996","27402"
"Ireland","1/6/1996","112368"
"United Kingdom","1/6/1996","1217062"
"Spain","1/6/1996","123647"
"Costa Rica","1/6/1996","44453"
"Germany","1/6/1996","580639"
"Brazil","1/6/1996","193672"
"Turkey","1/6/1996","13361"
"Belgium","1/6/1996","81314"
"Philippines","1/6/1996","49656"
"Guatemala","1/6/1996","70061"
"El Salvador","1/6/1996","40310"
"Mexico","1/6/1996","832952"
"Venezuela","1/6/1996","92576"
"Australia","1/6/1996","96036"
"Canada","1/6/1996","1222230"
"Bahamas","1/5/1996","113284"
"Turkey","1/5/1996","14957"
"Brazil","1/5/1996","172027"
"El Salvador","1/5/1996","29318"
"Philippines","1/5/1996","56664"
"Mexico","1/5/1996","827450"
"Honduras","1/5/1996","22949"
"Israel","1/5/1996","55314"
"France","1/5/1996","380134"
"South Korea","1/5/1996","295234"
"China","1/5/1996","24323"
"Dominican Republic","1/5/1996","146050"
"Canada","1/5/1996","1181058"
"Costa Rica","1/5/1996","38229"
"Ecuador","1/5/1996","29168"
"Belgium","1/5/1996","65139"
"Colombia","1/5/1996","62942"
"Haiti","1/5/1996","41185"
"Atlantic Ocean","1/5/1996","93476"
"Spain","1/5/1996","103135"
"Guatemala","1/5/1996","60671"
"Denmark","1/5/1996","36753"
"Aruba","1/5/1996","54813"
"Antilles","1/5/1996","41619"
"Trinidad and Tobago","1/5/1996","18313"
"Switzerland","1/5/1996","135832"
"New Zealand","1/5/1996","51089"
"Iceland","1/5/1996","26643"
"Peru","1/5/1996","51182"
"Chile","1/5/1996","27267"
"Taiwan","1/5/1996","187438"
"Netherlands","1/5/1996","287141"
"Cayman Islands","1/5/1996","51525"
"Hong Kong","1/5/1996","107741"
"Australia","1/5/1996","80679"
"Germany","1/5/1996","513404"
"Panama","1/5/1996","33315"
"Japan","1/5/1996","1130172"
"Venezuela","1/5/1996","89445"
"Russia","1/5/1996","27023"
"United Kingdom","1/5/1996","1074202"
"Jamaica","1/5/1996","155153"
"Ireland","1/5/1996","77520"
"Argentina","1/5/1996","62553"
"Italy","1/5/1996","172028"
"Haiti","1/4/1996","45759"
"Israel","1/4/1996","61741"
"Ecuador","1/4/1996","31222"
"Hong Kong","1/4/1996","99548"
"Aruba","1/4/1996","57763"
"France","1/4/1996","342508"
"Honduras","1/4/1996","22132"
"Netherlands","1/4/1996","243792"
"Switzerland","1/4/1996","122739"
"Argentina","1/4/1996","65407"
"Colombia","1/4/1996","61146"
"Canada","1/4/1996","1154175"
"Venezuela","1/4/1996","115278"
"Spain","1/4/1996","96665"
"Russia","1/4/1996","22337"
"Jamaica","1/4/1996","175225"
"Ireland","1/4/1996","57595"
"South Korea","1/4/1996","238594"
"Japan","1/4/1996","993650"
"Taiwan","1/4/1996","154926"
"Germany","1/4/1996","451794"
"Italy","1/4/1996","143541"
"Antilles","1/4/1996","44462"
"Australia","1/4/1996","85724"
"Chile","1/4/1996","26119"
"Peru","1/4/1996","46227"
"Cayman Islands","1/4/1996","60700"
"Belgium","1/4/1996","58919"
"United Kingdom","1/4/1996","974925"
"Trinidad and Tobago","1/4/1996","17001"
"Costa Rica","1/4/1996","50102"
"Brazil","1/4/1996","159420"
"El Salvador","1/4/1996","34797"
"Mexico","1/4/1996","849393"
"Iceland","1/4/1996","25970"
"Atlantic Ocean","1/4/1996","75236"
"Panama","1/4/1996","32073"
"Turkey","1/4/1996","9213"
"Bahamas","1/4/1996","121115"
"China","1/4/1996","12653"
"Philippines","1/4/1996","50491"
"New Zealand","1/4/1996","58201"
"Dominican Republic","1/4/1996","173410"
"Guatemala","1/4/1996","60737"
"Denmark","1/4/1996","29104"
"Jamaica","1/3/1996","165005"
"Antilles","1/3/1996","51374"
"Bahamas","1/3/1996","135128"
"Cayman Islands","1/3/1996","67268"
"New Zealand","1/3/1996","69203"
"Spain","1/3/1996","89796"
"South Korea","1/3/1996","220274"
"Peru","1/3/1996","55641"
"Trinidad and Tobago","1/3/1996","17370"
"El Salvador","1/3/1996","37288"
"Chile","1/3/1996","33399"
"Turkey","1/3/1996","9357"
"Japan","1/3/1996","1222778"
"Ecuador","1/3/1996","37037"
"China","1/3/1996","13233"
"Taiwan","1/3/1996","151846"
"Guatemala","1/3/1996","64515"
"Costa Rica","1/3/1996","63475"
"Aruba","1/3/1996","59171"
"Ireland","1/3/1996","61515"
"Argentina","1/3/1996","75246"
"Brazil","1/3/1996","159858"
"Honduras","1/3/1996","27129"
"Atlantic Ocean","1/3/1996","52042"
"Israel","1/3/1996","65923"
"Venezuela","1/3/1996","118556"
"Panama","1/3/1996","44145"
"Denmark","1/3/1996","29756"
"Dominican Republic","1/3/1996","170388"
"Iceland","1/3/1996","23337"
"Australia","1/3/1996","99314"
"Switzerland","1/3/1996","115100"
"Germany","1/3/1996","456817"
"France","1/3/1996","327785"
"Haiti","1/3/1996","38618"
"Mexico","1/3/1996","949632"
"Russia","1/3/1996","22397"
"Italy","1/3/1996","152550"
"United Kingdom","1/3/1996","977637"
"Hong Kong","1/3/1996","106061"
"Netherlands","1/3/1996","240742"
"Colombia","1/3/1996","63287"
"Philippines","1/3/1996","46700"
"Canada","1/3/1996","1364809"
"Belgium","1/3/1996","58511"
"Haiti","1/2/1996","38795"
"Spain","1/2/1996","62800"
"Brazil","1/2/1996","170518"
"Japan","1/2/1996","1089507"
"Antilles","1/2/1996","46271"
"France","1/2/1996","233181"
"Italy","1/2/1996","99188"
"Honduras","1/2/1996","22272"
"Australia","1/2/1996","85035"
"Netherlands","1/2/1996","168576"
"Argentina","1/2/1996","74672"
"Turkey","1/2/1996","5550"
"El Salvador","1/2/1996","28865"
"New Zealand","1/2/1996","60911"
"Guatemala","1/2/1996","53276"
"Dominican Republic","1/2/1996","177293"
"Iceland","1/2/1996","15101"
"Colombia","1/2/1996","58008"
"Germany","1/2/1996","329462"
"Peru","1/2/1996","52282"
"Philippines","1/2/1996","43142"
"Jamaica","1/2/1996","143505"
"Panama","1/2/1996","41573"
"Switzerland","1/2/1996","78854"
"Chile","1/2/1996","40769"
"Israel","1/2/1996","56871"
"Bahamas","1/2/1996","123546"
"Trinidad and Tobago","1/2/1996","29430"
"Ireland","1/2/1996","40876"
"Russia","1/2/1996","17400"
"Denmark","1/2/1996","23635"
"Ecuador","1/2/1996","29268"
"Hong Kong","1/2/1996","90574"
"Atlantic Ocean","1/2/1996","34494"
"Costa Rica","1/2/1996","66363"
"China","1/2/1996","9609"
"Canada","1/2/1996","1224745"
"Belgium","1/2/1996","39636"
"South Korea","1/2/1996","195638"
"Taiwan","1/2/1996","161426"
"Venezuela","1/2/1996","98060"
"United Kingdom","1/2/1996","726003"
"Mexico","1/2/1996","844311"
"Cayman Islands","1/2/1996","58415"
"Aruba","1/2/1996","56257"
"Ecuador","1/1/1996","32498"
"Canada","1/1/1996","1209843"
"Ireland","1/1/1996","44396"
"Germany","1/1/1996","380410"
"China","1/1/1996","7550"
"Panama","1/1/1996","43168"
"El Salvador","1/1/1996","48309"
"Chile","1/1/1996","42647"
"South Korea","1/1/1996","233544"
"Iceland","1/1/1996","15718"
"Brazil","1/1/1996","220915"
"New Zealand","1/1/1996","59805"
"Venezuela","1/1/1996","117574"
"Turkey","1/1/1996","6292"
"Jamaica","1/1/1996","107954"
"Argentina","1/1/1996","77163"
"Antilles","1/1/1996","42186"
"Japan","1/1/1996","1111580"
"Australia","1/1/1996","103855"
"Costa Rica","1/1/1996","74730"
"Mexico","1/1/1996","875336"
"Honduras","1/1/1996","29137"
"France","1/1/1996","226535"
"Russia","1/1/1996","19817"
"Italy","1/1/1996","107388"
"Aruba","1/1/1996","57765"
"Spain","1/1/1996","73840"
"Peru","1/1/1996","59166"
"Trinidad and Tobago","1/1/1996","19886"
"Netherlands","1/1/1996","197674"
"Guatemala","1/1/1996","73581"
"Philippines","1/1/1996","50416"
"Denmark","1/1/1996","23887"
"Dominican Republic","1/1/1996","207419"
"Belgium","1/1/1996","51544"
"United Kingdom","1/1/1996","779097"
"Hong Kong","1/1/1996","99528"
"Atlantic Ocean","1/1/1996","29848"
"Colombia","1/1/1996","87661"
"Bahamas","1/1/1996","113578"
"Taiwan","1/1/1996","159536"
"Israel","1/1/1996","63924"
"Switzerland","1/1/1996","88778"
"Cayman Islands","1/1/1996","56327"
"Haiti","1/1/1996","47378"
"Turkey","1/12/1995","7836"
"Bahamas","1/12/1995","121487"
"Chile","1/12/1995","34825"
"Hong Kong","1/12/1995","99117"
"Aruba","1/12/1995","56413"
"Peru","1/12/1995","55718"
"Canada","1/12/1995","1122560"
"Costa Rica","1/12/1995","67766"
"New Zealand","1/12/1995","65135"
"Germany","1/12/1995","420457"
"Haiti","1/12/1995","46873"
"Netherlands","1/12/1995","207116"
"Colombia","1/12/1995","92745"
"Cayman Islands","1/12/1995","54752"
"Spain","1/12/1995","78158"
"Guatemala","1/12/1995","85405"
"Ireland","1/12/1995","42516"
"Taiwan","1/12/1995","179171"
"South Korea","1/12/1995","253650"
"Iceland","1/12/1995","20502"
"Jamaica","1/12/1995","189338"
"Denmark","1/12/1995","25301"
"China","1/12/1995","13137"
"Honduras","1/12/1995","30255"
"Australia","1/12/1995","96574"
"France","1/12/1995","228719"
"Belgium","1/12/1995","52730"
"Italy","1/12/1995","117227"
"Argentina","1/12/1995","71086"
"Japan","1/12/1995","1109443"
"Brazil","1/12/1995","192363"
"Panama","1/12/1995","39351"
"Dominican Republic","1/12/1995","201904"
"Ecuador","1/12/1995","34227"
"El Salvador","1/12/1995","50037"
"Mexico","1/12/1995","831657"
"Venezuela","1/12/1995","121056"
"United Kingdom","1/12/1995","850235"
"Antilles","1/12/1995","37289"
"Philippines","1/12/1995","46631"
"Israel","1/12/1995","59473"
"Trinidad and Tobago","1/12/1995","24495"
"Russia","1/12/1995","22594"
"Switzerland","1/12/1995","102250"
"Atlantic Ocean","1/12/1995","42237"
"Haiti","1/11/1995","37792"
"Antilles","1/11/1995","31313"
"Iceland","1/11/1995","19902"
"Trinidad and Tobago","1/11/1995","17034"
"Costa Rica","1/11/1995","49980"
"Chile","1/11/1995","30922"
"Italy","1/11/1995","130270"
"Guatemala","1/11/1995","74097"
"Honduras","1/11/1995","22714"
"Peru","1/11/1995","45374"
"Hong Kong","1/11/1995","95853"
"Russia","1/11/1995","20797"
"Panama","1/11/1995","32523"
"Netherlands","1/11/1995","197801"
"Colombia","1/11/1995","63387"
"Australia","1/11/1995","84102"
"China","1/11/1995","12268"
"Venezuela","1/11/1995","98037"
"Belgium","1/11/1995","51774"
"Argentina","1/11/1995","66718"
"Aruba","1/11/1995","64950"
"Ecuador","1/11/1995","32207"
"France","1/11/1995","251374"
"Spain","1/11/1995","76769"
"Ireland","1/11/1995","40887"
"Dominican Republic","1/11/1995","149547"
"Philippines","1/11/1995","35987"
"South Korea","1/11/1995","215205"
"New Zealand","1/11/1995","55123"
"Taiwan","1/11/1995","149447"
"Japan","1/11/1995","1065231"
"Mexico","1/11/1995","739513"
"Germany","1/11/1995","410907"
"Canada","1/11/1995","1090971"
"Turkey","1/11/1995","7898"
"Denmark","1/11/1995","25824"
"Jamaica","1/11/1995","155210"
"Bahamas","1/11/1995","108665"
"United Kingdom","1/11/1995","850482"
"Atlantic Ocean","1/11/1995","66858"
"Cayman Islands","1/11/1995","54540"
"El Salvador","1/11/1995","35719"
"Israel","1/11/1995","55924"
"Switzerland","1/11/1995","98186"
"Brazil","1/11/1995","158601"
"Guatemala","1/10/1995","64828"
"Spain","1/10/1995","102378"
"United Kingdom","1/10/1995","1126551"
"Dominican Republic","1/10/1995","139581"
"Japan","1/10/1995","1110375"
"Peru","1/10/1995","51357"
"Brazil","1/10/1995","173913"
"Germany","1/10/1995","540212"
"Russia","1/10/1995","23557"
"Iceland","1/10/1995","22509"
"Taiwan","1/10/1995","144375"
"Antilles","1/10/1995","24202"
"Hong Kong","1/10/1995","102950"
"Australia","1/10/1995","96128"
"Panama","1/10/1995","30684"
"New Zealand","1/10/1995","55333"
"France","1/10/1995","340896"
"Chile","1/10/1995","32254"
"Haiti","1/10/1995","41493"
"El Salvador","1/10/1995","30201"
"Jamaica","1/10/1995","142569"
"Canada","1/10/1995","1087773"
"Italy","1/10/1995","182599"
"Philippines","1/10/1995","35387"
"Colombia","1/10/1995","62207"
"Argentina","1/10/1995","74051"
"China","1/10/1995","11949"
"Aruba","1/10/1995","63743"
"Netherlands","1/10/1995","245655"
"Ecuador","1/10/1995","32620"
"Ireland","1/10/1995","60239"
"Israel","1/10/1995","67951"
"Honduras","1/10/1995","19775"
"South Korea","1/10/1995","199368"
"Mexico","1/10/1995","675516"
"Turkey","1/10/1995","12069"
"Switzerland","1/10/1995","131593"
"Costa Rica","1/10/1995","34423"
"Atlantic Ocean","1/10/1995","74966"
"Belgium","1/10/1995","69150"
"Trinidad and Tobago","1/10/1995","14954"
"Venezuela","1/10/1995","135626"
"Bahamas","1/10/1995","82740"
"Denmark","1/10/1995","33595"
"Cayman Islands","1/10/1995","47705"
"Russia","1/9/1995","29612"
"South Korea","1/9/1995","225896"
"United Kingdom","1/9/1995","1160743"
"Canada","1/9/1995","1123865"
"Honduras","1/9/1995","23234"
"Argentina","1/9/1995","66829"
"Trinidad and Tobago","1/9/1995","18903"
"Haiti","1/9/1995","53538"
"Spain","1/9/1995","116396"
"Philippines","1/9/1995","36886"
"Hong Kong","1/9/1995","104856"
"Netherlands","1/9/1995","255257"
"Japan","1/9/1995","1247965"
"Australia","1/9/1995","93890"
"Chile","1/9/1995","35560"
"France","1/9/1995","365717"
"Costa Rica","1/9/1995","36302"
"Peru","1/9/1995","41787"
"Taiwan","1/9/1995","158802"
"Israel","1/9/1995","54340"
"Mexico","1/9/1995","626152"
"China","1/9/1995","15986"
"Venezuela","1/9/1995","161664"
"Germany","1/9/1995","576815"
"Switzerland","1/9/1995","136864"
"Guatemala","1/9/1995","59466"
"Jamaica","1/9/1995","147820"
"Aruba","1/9/1995","49951"
"Denmark","1/9/1995","41978"
"El Salvador","1/9/1995","35063"
"Antilles","1/9/1995","25265"
"Iceland","1/9/1995","22458"
"Cayman Islands","1/9/1995","36229"
"Ireland","1/9/1995","87783"
"Turkey","1/9/1995","13453"
"Bahamas","1/9/1995","76463"
"Panama","1/9/1995","34143"
"Ecuador","1/9/1995","43504"
"Belgium","1/9/1995","73759"
"Dominican Republic","1/9/1995","161798"
"Colombia","1/9/1995","66780"
"New Zealand","1/9/1995","60569"
"Brazil","1/9/1995","164442"
"Italy","1/9/1995","199847"
"Atlantic Ocean","1/9/1995","69807"
"Argentina","1/8/1995","66215"
"Dominican Republic","1/8/1995","233189"
"Germany","1/8/1995","614604"
"Panama","1/8/1995","42234"
"New Zealand","1/8/1995","53902"
"Switzerland","1/8/1995","143009"
"Venezuela","1/8/1995","159337"
"Chile","1/8/1995","31582"
"Spain","1/8/1995","140156"
"Italy","1/8/1995","215955"
"South Korea","1/8/1995","321931"
"Taiwan","1/8/1995","211710"
"Cayman Islands","1/8/1995","49527"
